
p is initialized as 0.5

It.      Pn-1           Pn        f(Pn)     Absolute Error
 -----------------------------------------------------------
  1   0.50000000   6.48074055 1747.51892090   5.98074055
  2   6.48074055   0.62641722  -10.47244072   5.85432339
  3   0.62641722   5.20390940  718.15893555   4.57749224
  4   5.20390940   0.74928647  -10.43408298   4.45462275
  5   0.74928647   4.37564325  352.20339966   3.62635684
  6   4.37564325   0.86650634  -10.30275536   3.50913692
  7   0.86650634   3.80428672  195.65177917   2.93778038
  8   3.80428672   0.97663832  -10.06686115   2.82764840
  9   0.97663832   3.39235210  119.04292297   2.41571379
 10   3.39235210   1.07876670   -9.72448158   2.31358528
 11   1.07876670   3.08544755   77.54468536   2.00668097
 12   3.08544755   1.17240083   -9.28308487   1.91304672
 13   1.17240083   2.85099936   53.21659851   1.67859852
 14   2.85099936   1.25739384   -8.75770855   1.59360552
 15   1.25739384   2.66837955   38.02956772   1.41098571
 16   2.66837955   1.33386827   -8.16829872   1.33451128
 17   1.33386827   2.52392316   28.05537796   1.19005489
 18   2.52392316   1.40214860   -7.53691101   1.12177455
 19   1.40214860   2.40823722   21.22719574   1.00608861
 20   2.40823722   1.46270168   -6.88525820   0.94553554
 21   1.46270168   2.31466269   16.38989067   0.85196102
 22   2.31466269   1.51608503   -6.23291922   0.79857767
 23   1.51608503   2.23835444   12.86405563   0.72226942
 24   2.23835444   1.56290531   -5.59625387   0.67544913
 25   1.56290531   2.17570901   10.23229980   0.61280370
 26   2.17570901   1.60378563   -4.98794174   0.57192338
 27   1.60378563   2.12399507    8.22832870   0.52020943
 28   2.12399507   1.63934124   -4.41700935   0.48465383
 29   1.63934124   2.08110905    6.67657852   0.44176781
 30   2.08110905   1.67016196   -3.88918114   0.41094708
 31   1.67016196   2.04540753    5.45787144   0.37524557
 32   2.04540753   1.69680095   -3.40739155   0.34860659
 33   1.69680095   2.01559210    4.48921967   0.31879115
 34   2.01559210   1.71976840   -2.97235012   0.29582369
 35   1.71976840   1.99062538    3.71149063   0.27085698
 36   1.99062538   1.73952782   -2.58311081   0.25109756
 37   1.73952782   1.96967208    3.08168697   0.23014426
 38   1.96967208   1.75649607   -2.23755217   0.21317601
 39   1.75649607   1.95205379    2.56796265   0.19555771
 40   1.95205379   1.77104461   -1.93279076   0.18100917
 41   1.77104461   1.93721581    2.14632988   0.16617119
 42   1.93721581   1.78350163   -1.66551590   0.15371418
 43   1.78350163   1.92470288    1.79847813   0.14120126
 44   1.92470288   1.79415548   -1.43223381   0.13054740
 45   1.79415548   1.91413844    1.51021385   0.11998296
 46   1.91413844   1.80325854   -1.22943687   0.11087990
 47   1.80325854   1.90521049    1.27043343   0.10195196
 48   1.90521049   1.81102967   -1.05375385   0.09418082
 49   1.81102967   1.89765954    1.07034588   0.08662987
 50   1.89765954   1.81765926   -0.90200138   0.08000028
 51   1.81765926   1.89126873    0.90292645   0.07360947
 52   1.89126873   1.82331145   -0.77124691   0.06795728
 53   1.82331145   1.88585675    0.76251984   0.06254530
 54   1.88585675   1.82812774   -0.65882301   0.05772901
 55   1.82812774   1.88127136    0.64453793   0.05314362
 56   1.88127136   1.83223009   -0.56233025   0.04904127
 57   1.83223009   1.87738466    0.54523087   0.04515457
 58   1.87738466   1.83572304   -0.47963810   0.04166162
 59   1.83572304   1.87408912    0.46153069   0.03836608
 60   1.87408912   1.83869588   -0.40886879   0.03539324
 61   1.83869588   1.87129402    0.39089870   0.03259814
 62   1.87129402   1.84122550   -0.34836960   0.03006852
 63   1.84122550   1.86892271    0.33123207   0.02769721
 64   1.86892271   1.84337759   -0.29669571   0.02554512
 65   1.84337759   1.86691058    0.28078938   0.02353299
 66   1.86691058   1.84520793   -0.25259781   0.02170265
 67   1.84520793   1.86520278    0.23810959   0.01999485
 68   1.86520278   1.84676456   -0.21498585   0.01843822
 69   1.84676456   1.86375296    0.20197105   0.01698840
 70   1.86375296   1.84808826   -0.18292427   0.01566470
 71   1.84808826   1.86252213    0.17136002   0.01443386
 72   1.86252213   1.84921360   -0.15561104   0.01330853
 73   1.84921360   1.86147702    0.14541817   0.01226342
 74   1.86147702   1.85017037   -0.13234806   0.01130664
 75   1.85017037   1.86058950    0.12342262   0.01041913
 76   1.86058950   1.85098362   -0.11254597   0.00960588
 77   1.85098362   1.85983598    0.10477543   0.00885236
 78   1.85983598   1.85167468   -0.09569836   0.00816131
 79   1.85167468   1.85919607    0.08895683   0.00752139
 80   1.85919607   1.85226202   -0.08136177   0.00693405
 81   1.85226202   1.85865259    0.07553482   0.00639057
 82   1.85865259   1.85276115   -0.06916904   0.00589144
 83   1.85276115   1.85819089    0.06414509   0.00542974
 84   1.85819089   1.85318542   -0.05879593   0.00500548
 85   1.85318542   1.85779881    0.05447769   0.00461340
 86   1.85779881   1.85354602   -0.04997253   0.00425279
 87   1.85354602   1.85746562    0.04626656   0.00391960
 88   1.85746562   1.85385239   -0.04247284   0.00361323
 89   1.85385239   1.85718262    0.03929615   0.00333023
 90   1.85718262   1.85411274   -0.03609657   0.00306988
 91   1.85411274   1.85694230    0.03338146   0.00282955
 92   1.85694230   1.85433388   -0.03067970   0.00260842
 93   1.85433388   1.85673809    0.02835560   0.00240421
 94   1.85673809   1.85452199   -0.02606773   0.00221610
 95   1.85452199   1.85656452    0.02408600   0.00204253
 96   1.85656452   1.85468173   -0.02215290   0.00188279
 97   1.85468173   1.85641706    0.02045918   0.00173533
 98   1.85641706   1.85481751   -0.01882362   0.00159955
 99   1.85481751   1.85629177    0.01737785   0.00147426
100   1.85629177   1.85493290   -0.01599216   0.00135887
101   1.85493290   1.85618532    0.01476002   0.00125241
102   1.85618532   1.85503089   -0.01358891   0.00115442
103   1.85503089   1.85609496    0.01253891   0.00106406
104   1.85609496   1.85511422   -0.01154518   0.00098073
105   1.85511422   1.85601819    0.01065254   0.00090396
106   1.85601819   1.85518491   -0.00981045   0.00083327
107   1.85518491   1.85595298    0.00905037   0.00076807
108   1.85595298   1.85524499   -0.00833607   0.00070798
109   1.85524499   1.85589755    0.00768852   0.00065255
110   1.85589755   1.85529613   -0.00708103   0.00060141
111   1.85529613   1.85585034    0.00652885   0.00055420
112   1.85585034   1.85533953   -0.00601387   0.00051081
113   1.85533953   1.85581040    0.00554752   0.00047088
114   1.85581040   1.85537636   -0.00511074   0.00043404
115   1.85537636   1.85577643    0.00471210   0.00040007
116   1.85577643   1.85540771   -0.00434113   0.00036871
117   1.85540771   1.85574746    0.00400162   0.00033975
118   1.85574746   1.85543430   -0.00368881   0.00031316
119   1.85543430   1.85572302    0.00340080   0.00028872
120   1.85572302   1.85545695   -0.00313377   0.00026608
121   1.85545695   1.85570216    0.00288868   0.00024521
122   1.85570216   1.85547614   -0.00266171   0.00022602
123   1.85547614   1.85568440    0.00245285   0.00020826
124   1.85568440   1.85549247   -0.00226116   0.00019193
125   1.85549247   1.85566938    0.00208473   0.00017691
126   1.85566938   1.85550630   -0.00192165   0.00016308
127   1.85550630   1.85565662    0.00177002   0.00015032
128   1.85565662   1.85551810   -0.00163174   0.00013852
129   1.85551810   1.85564578    0.00150490   0.00012767
130   1.85564578   1.85552812   -0.00138474   0.00011766
131   1.85552812   1.85563660    0.00127888   0.00010848
132   1.85563660   1.85553658   -0.00117683   0.00010002
133   1.85553658   1.85562873    0.00108528   0.00009215
134   1.85562873   1.85554373   -0.00100231   0.00008500
135   1.85554373   1.85562205    0.00092125   0.00007832
136   1.85562205   1.85554993   -0.00084877   0.00007212
137   1.85554993   1.85561645    0.00078392   0.00006652
138   1.85561645   1.85555518   -0.00072193   0.00006127
139   1.85555518   1.85561156    0.00066376   0.00005639
140   1.85561156   1.85555971   -0.00060844   0.00005186
141   1.85555971   1.85560739    0.00056171   0.00004768
142   1.85560739   1.85556340   -0.00051880   0.00004399
143   1.85556340   1.85560393    0.00047588   0.00004053
144   1.85560393   1.85556662   -0.00044060   0.00003731
145   1.85556662   1.85560095    0.00040340   0.00003433
146   1.85560095   1.85556936   -0.00037193   0.00003159
147   1.85556936   1.85559857    0.00034523   0.00002921
148   1.85559857   1.85557163   -0.00031757   0.00002694
149   1.85557163   1.85559642    0.00029182   0.00002480
150   1.85559642   1.85557353   -0.00026989   0.00002289
151   1.85557353   1.85559475    0.00025082   0.00002122
152   1.85559475   1.85557508   -0.00023270   0.00001967
153   1.85557508   1.85559332    0.00021553   0.00001824
154   1.85559332   1.85557652   -0.00019741   0.00001681
155   1.85557652   1.85559189    0.00018120   0.00001538
156   1.85559189   1.85557783   -0.00016403   0.00001407
157   1.85557783   1.85559070    0.00015068   0.00001287
158   1.85559070   1.85557890   -0.00013733   0.00001180
159   1.85557890   1.85558975    0.00012779   0.00001085
160   1.85558975   1.85557973   -0.00011826   0.00001001
161   1.85557973   1.85558891    0.00010681   0.00000918
162   1.85558891   1.85558057   -0.00009823   0.00000834
163   1.85558057   1.85558820    0.00008965   0.00000763
164   1.85558820   1.85558105   -0.00008583   0.00000715
165   1.85558105   1.85558772    0.00007820   0.00000668
166   1.85558772   1.85558152   -0.00007439   0.00000620
167   1.85558152   1.85558724    0.00006580   0.00000572
168   1.85558724   1.85558200   -0.00006199   0.00000525
169   1.85558200   1.85558689    0.00005817   0.00000489
170   1.85558689   1.85558236   -0.00005341   0.00000453
171   1.85558236   1.85558653    0.00004959   0.00000417
172   1.85558653   1.85558271   -0.00004387   0.00000381
173   1.85558271   1.85558617    0.00004101   0.00000346
174   1.85558617   1.85558295   -0.00003815   0.00000322
175   1.85558295   1.85558593    0.00003433   0.00000298
176   1.85558593   1.85558319   -0.00003338   0.00000274
177   1.85558319   1.85558569    0.00002766   0.00000250
178   1.85558569   1.85558343   -0.00002670   0.00000226
179   1.85558343   1.85558546    0.00002384   0.00000203
