
p is initialized as 0.5

It.      Pn-1           Pn        f(Pn)     Absolute Error
 -----------------------------------------------------------
  1   0.50000000 -11.4285717017060.98632812  11.92857170
  2 -11.42857170  -0.00669473   -9.99330521  11.42187691
  3  -0.00669473  -9.99999619 9999.98437500   9.99330139
  4  -9.99999619  -0.00999002   -9.99001026   9.99000645
  5  -0.00999002  -9.99999046 9999.96191406   9.99000072
  6  -9.99999046  -0.00999004   -9.99001026   9.99000072
  7  -0.00999004  -9.99999046 9999.96191406   9.99000072
  8  -9.99999046  -0.00999004   -9.99001026   9.99000072
  9  -0.00999004  -9.99999046 9999.96191406   9.99000072
 10  -9.99999046  -0.00999004   -9.99001026   9.99000072
 11  -0.00999004  -9.99999046 9999.96191406   9.99000072
 12  -9.99999046  -0.00999004   -9.99001026   9.99000072
 13  -0.00999004  -9.99999046 9999.96191406   9.99000072
 14  -9.99999046  -0.00999004   -9.99001026   9.99000072
 15  -0.00999004  -9.99999046 9999.96191406   9.99000072
 16  -9.99999046  -0.00999004   -9.99001026   9.99000072
 17  -0.00999004  -9.99999046 9999.96191406   9.99000072
 18  -9.99999046  -0.00999004   -9.99001026   9.99000072
 19  -0.00999004  -9.99999046 9999.96191406   9.99000072
 20  -9.99999046  -0.00999004   -9.99001026   9.99000072
 21  -0.00999004  -9.99999046 9999.96191406   9.99000072
 22  -9.99999046  -0.00999004   -9.99001026   9.99000072
 23  -0.00999004  -9.99999046 9999.96191406   9.99000072
 24  -9.99999046  -0.00999004   -9.99001026   9.99000072
 25  -0.00999004  -9.99999046 9999.96191406   9.99000072
 26  -9.99999046  -0.00999004   -9.99001026   9.99000072
 27  -0.00999004  -9.99999046 9999.96191406   9.99000072
 28  -9.99999046  -0.00999004   -9.99001026   9.99000072
 29  -0.00999004  -9.99999046 9999.96191406   9.99000072
 30  -9.99999046  -0.00999004   -9.99001026   9.99000072
 31  -0.00999004  -9.99999046 9999.96191406   9.99000072
 32  -9.99999046  -0.00999004   -9.99001026   9.99000072
 33  -0.00999004  -9.99999046 9999.96191406   9.99000072
 34  -9.99999046  -0.00999004   -9.99001026   9.99000072
 35  -0.00999004  -9.99999046 9999.96191406   9.99000072
 36  -9.99999046  -0.00999004   -9.99001026   9.99000072
 37  -0.00999004  -9.99999046 9999.96191406   9.99000072
 38  -9.99999046  -0.00999004   -9.99001026   9.99000072
 39  -0.00999004  -9.99999046 9999.96191406   9.99000072
 40  -9.99999046  -0.00999004   -9.99001026   9.99000072
 41  -0.00999004  -9.99999046 9999.96191406   9.99000072
 42  -9.99999046  -0.00999004   -9.99001026   9.99000072
 43  -0.00999004  -9.99999046 9999.96191406   9.99000072
 44  -9.99999046  -0.00999004   -9.99001026   9.99000072
 45  -0.00999004  -9.99999046 9999.96191406   9.99000072
 46  -9.99999046  -0.00999004   -9.99001026   9.99000072
 47  -0.00999004  -9.99999046 9999.96191406   9.99000072
 48  -9.99999046  -0.00999004   -9.99001026   9.99000072
 49  -0.00999004  -9.99999046 9999.96191406   9.99000072
 50  -9.99999046  -0.00999004   -9.99001026   9.99000072
 51  -0.00999004  -9.99999046 9999.96191406   9.99000072
 52  -9.99999046  -0.00999004   -9.99001026   9.99000072
 53  -0.00999004  -9.99999046 9999.96191406   9.99000072
 54  -9.99999046  -0.00999004   -9.99001026   9.99000072
 55  -0.00999004  -9.99999046 9999.96191406   9.99000072
 56  -9.99999046  -0.00999004   -9.99001026   9.99000072
 57  -0.00999004  -9.99999046 9999.96191406   9.99000072
 58  -9.99999046  -0.00999004   -9.99001026   9.99000072
 59  -0.00999004  -9.99999046 9999.96191406   9.99000072
 60  -9.99999046  -0.00999004   -9.99001026   9.99000072
 61  -0.00999004  -9.99999046 9999.96191406   9.99000072
 62  -9.99999046  -0.00999004   -9.99001026   9.99000072
 63  -0.00999004  -9.99999046 9999.96191406   9.99000072
 64  -9.99999046  -0.00999004   -9.99001026   9.99000072
 65  -0.00999004  -9.99999046 9999.96191406   9.99000072
 66  -9.99999046  -0.00999004   -9.99001026   9.99000072
 67  -0.00999004  -9.99999046 9999.96191406   9.99000072
 68  -9.99999046  -0.00999004   -9.99001026   9.99000072
 69  -0.00999004  -9.99999046 9999.96191406   9.99000072
 70  -9.99999046  -0.00999004   -9.99001026   9.99000072
 71  -0.00999004  -9.99999046 9999.96191406   9.99000072
 72  -9.99999046  -0.00999004   -9.99001026   9.99000072
 73  -0.00999004  -9.99999046 9999.96191406   9.99000072
 74  -9.99999046  -0.00999004   -9.99001026   9.99000072
 75  -0.00999004  -9.99999046 9999.96191406   9.99000072
 76  -9.99999046  -0.00999004   -9.99001026   9.99000072
 77  -0.00999004  -9.99999046 9999.96191406   9.99000072
 78  -9.99999046  -0.00999004   -9.99001026   9.99000072
 79  -0.00999004  -9.99999046 9999.96191406   9.99000072
 80  -9.99999046  -0.00999004   -9.99001026   9.99000072
 81  -0.00999004  -9.99999046 9999.96191406   9.99000072
 82  -9.99999046  -0.00999004   -9.99001026   9.99000072
 83  -0.00999004  -9.99999046 9999.96191406   9.99000072
 84  -9.99999046  -0.00999004   -9.99001026   9.99000072
 85  -0.00999004  -9.99999046 9999.96191406   9.99000072
 86  -9.99999046  -0.00999004   -9.99001026   9.99000072
 87  -0.00999004  -9.99999046 9999.96191406   9.99000072
 88  -9.99999046  -0.00999004   -9.99001026   9.99000072
 89  -0.00999004  -9.99999046 9999.96191406   9.99000072
 90  -9.99999046  -0.00999004   -9.99001026   9.99000072
 91  -0.00999004  -9.99999046 9999.96191406   9.99000072
 92  -9.99999046  -0.00999004   -9.99001026   9.99000072
 93  -0.00999004  -9.99999046 9999.96191406   9.99000072
 94  -9.99999046  -0.00999004   -9.99001026   9.99000072
 95  -0.00999004  -9.99999046 9999.96191406   9.99000072
 96  -9.99999046  -0.00999004   -9.99001026   9.99000072
 97  -0.00999004  -9.99999046 9999.96191406   9.99000072
 98  -9.99999046  -0.00999004   -9.99001026   9.99000072
