 Augmented Matrix=
   4.00000000      -1.00000000       0.00000000      -1.00000000       0.00000000       0.00000000       0.00000000    
  -1.00000000       4.00000000      -1.00000000       0.00000000      -1.00000000       0.00000000       5.00000000    
   0.00000000      -1.00000000       4.00000000       0.00000000       0.00000000      -1.00000000       0.00000000    
  -1.00000000       0.00000000       0.00000000       4.00000000      -1.00000000       0.00000000       6.00000000    
   0.00000000      -1.00000000       0.00000000      -1.00000000       4.00000000      -1.00000000      -2.00000000    
   0.00000000       0.00000000      -1.00000000       0.00000000      -1.00000000       4.00000000       6.00000000    

it.        x1        x2        x3        x4        x5        x6     error
---        --        --        --        --        --        --     -----
  0   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000   1.50000
  1   0.00000   1.25000   0.00000   1.50000  -0.50000   1.50000   1.06250
  2   0.68750   1.12500   0.68750   1.37500   0.56250   1.37500   0.60938
  3   0.62500   1.73438   0.62500   1.81250   0.46875   1.81250   0.37109
  4   0.88672   1.67969   0.88672   1.77344   0.83984   1.77344   0.22363
  5   0.86328   1.90332   0.86328   1.93164   0.80664   1.93164   0.13501
  6   0.95874   1.88330   0.95874   1.91748   0.94165   1.91748   0.08148
  7   0.95020   1.96478   0.95020   1.97510   0.92957   1.97510   0.04918
  8   0.98497   1.95749   0.98497   1.96994   0.97874   1.96994   0.02968
  9   0.98186   1.98717   0.98186   1.99093   0.97434   1.99093   0.01791
 10   0.99452   1.98451   0.99452   1.98905   0.99226   1.98905   0.01081
 11   0.99339   1.99533   0.99339   1.99670   0.99065   1.99670   0.00653
 12   0.99801   1.99436   0.99801   1.99601   0.99718   1.99601   0.00394
 13   0.99759   1.99830   0.99759   1.99880   0.99660   1.99880   0.00238
 14   0.99927   1.99795   0.99927   1.99855   0.99897   1.99855   0.00143
 15   0.99912   1.99938   0.99912   1.99956   0.99876   1.99956   0.00087

Therefore solution is x =    0.99974   1.99925   0.99974   1.99947   0.99963   1.99947
