 Augmented Matrix=
   2.00000000      -1.00000000       1.00000000      -1.00000000    
   2.00000000       2.00000000       2.00000000       4.00000000    
  -1.00000000      -1.00000000       2.00000000      -5.00000000    

it.           x1           x2           x3        error
---           --           --           --        -----
  0      0.00000      0.00000      0.00000      2.50000
  1     -0.50000      2.50000     -1.50000      2.00000
  2      1.50000      2.00000     -0.75000      0.62500
  3      0.87500      1.87500     -1.12500      0.25000
  4      1.00000      2.12500     -0.93750      0.21875
  5      1.03125      1.90625     -1.03125      0.15625
  6      0.96875      2.06250     -0.98438      0.10156
  7      1.02344      1.96094     -1.00781      0.06250
  8      0.98438      2.02344     -0.99609      0.03711
  9      1.00977      1.98633     -1.00195      0.02148
 10      0.99414      2.00781     -0.99902      0.01221
 11      1.00342      1.99561     -1.00049      0.00684
 12      0.99805      2.00244     -0.99976      0.00378
 13      1.00110      1.99866     -1.00012      0.00208
 14      0.99939      2.00073     -0.99994      0.00113
 15      1.00034      1.99960     -1.00003      0.00061
 16      0.99982      2.00021     -0.99998      0.00033
 17      1.00010      1.99989     -1.00001      0.00018
 18      0.99995      2.00006     -1.00000      0.00009
 19      1.00003      1.99997     -1.00000      0.00005
 20      0.99998      2.00002     -1.00000      0.00003
 21      1.00001      1.99999     -1.00000      0.00001
 22      1.00000      2.00000     -1.00000      0.00001

Therefore solution is x =    1.00000   2.00000  -1.00000
