 Augmented Matrix=
   2.00000000      -1.00000000       1.00000000      -1.00000000    
   2.00000000       2.00000000       2.00000000       4.00000000    
  -1.00000000      -1.00000000       2.00000000      -5.00000000    

it.           x1           x2           x3        error
---           --           --           --        -----
  0      0.00000      0.00000      0.00000      2.50000
  1     -0.50000      2.00000     -2.50000      3.00000
  2      1.75000      5.00000     -1.75000      3.00000
  3      2.87500      2.00000      0.87500      3.75000
  4      0.06250     -1.75000     -0.06250      3.75000
  5     -1.34375      2.00000     -3.34375      4.68750
  6      2.17188      6.68750     -2.17188      4.68750
  7      3.92969      2.00000      1.92969      5.85938
  8     -0.46484     -3.85938      0.46484      5.85938
  9     -2.66211      2.00000     -4.66211      7.32422
 10      2.83105      9.32422     -2.83105      7.32422
 11      5.57764      2.00000      3.57764      9.15527
 12     -1.28882     -7.15527      1.28882      9.15527
 13     -4.72205      2.00000     -6.72205     11.44409
 14      3.86102     13.44409     -3.86102     11.44409
 15      8.15256      2.00000      6.15256     14.30511
 16     -2.57628    -12.30511      2.57628     14.30511
 17     -7.94070      2.00000     -9.94070     17.88139
 18      5.47035     19.88139     -5.47035     17.88139
 19     12.17587      2.00000     10.17587     22.35174
 20     -4.58794    -20.35174      4.58794     22.35174
 21    -12.96984      2.00000    -14.96984     27.93968
 22      7.98492     29.93968     -7.98492     27.93968
 23     18.46230      2.00000     16.46230     34.92460
 24     -7.73115    -32.92460      7.73115     34.92460
 25    -20.82787      2.00000    -22.82787     43.65575
 26     11.91394     45.65575    -11.91394     43.65575
 27     28.28484      2.00000     26.28484     54.56968
 28    -12.64242    -52.56968     12.64242     54.56968
 29    -33.10605      2.00000    -35.10605     68.21210
 30     18.05303     70.21210    -18.05303     68.21210
 31     43.63256      2.00000     41.63256     85.26513
 32    -20.31628    -83.26513     20.31628     85.26513
 33    -52.29071      2.00000    -54.29071    106.58141
 34     27.64535    108.58141    -27.64535    106.58141
 35     67.61338      2.00000     65.61338    133.22676
 36    -32.30669   -131.22676     32.30669    133.22676
 37    -82.26672      2.00000    -84.26672    166.53345
 38     42.63336    168.53345    -42.63336    166.53345
 39    105.08340      2.00000    103.08340    208.16681
 40    -51.04170   -206.16681     51.04170    208.16681
 41   -129.10425      2.00000   -131.10425    260.20850
 42     66.05212    262.20850    -66.05212    260.20850
 43    163.63031      2.00000    161.63031    325.26062
 44    -80.31516   -323.26062     80.31516    325.26062
 45   -202.28789      2.00000   -204.28789    406.57578
 46    102.64394    408.57578   -102.64394    406.57578
 47    255.10986      2.00000    253.10986    508.21973
 48   -126.05493   -506.21973    126.05493    508.21973
 49   -316.63733      2.00000   -318.63733    635.27466

Therefore it does not converge
